City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,dikson,73.5069,80.5464,-18.54,100,100,3.97,RU,1681677837
84,bahia honda,22.9036,-83.1592,30.39,55,11,1.66,CU,1681677837
85,trelew,-43.249,-65.3051,16.86,32,5,6.25,AR,1681677716
86,kattivakkam,13.2167,80.3167,29.05,86,33,4.5,IN,1681677838
87,dunedin,-45.8742,170.5036,13.93,52,3,1.27,NZ,1681677580
88,merauke,-8.4667,140.3333,26.87,80,81,0.48,ID,1681677838
89,iskateley,67.6803,53.1512,-7.8,95,95,2.43,RU,1681677838
90,georgetown,5.4112,100.3354,27.97,89,20,1.03,MY,1681677839
91,aklavik,68.2191,-135.0107,-11.77,91,100,6.97,CA,1681677742
92,kavieng,-2.5744,150.7967,27.45,79,100,3.35,PG,1681677839
93,kangaatsiaq,68.3065,-53.4641,-4.98,81,100,7.63,GL,1681677839
94,ahipara,-35.1667,173.1667,18.43,78,100,8.0,NZ,1681677840
95,inuvik,68.3499,-133.7218,-9.44,78,100,4.63,CA,1681677611
96,whyalla,-33.0333,137.5833,14.55,63,1,2.7,AU,1681677840
97,bilibino,68.0546,166.4372,-14.0,71,77,1.16,RU,1681677841
98,bambous virieux,-20.3428,57.7575,25.14,88,40,1.03,MU,1681677841
99,tuy hoa,13.0833,109.3,24.79,92,100,1.17,VN,1681677841
100,shizilu,35.1711,118.8289,10.81,48,33,3.34,CN,1681677842
101,liverpool,53.4106,-2.9779,12.08,90,75,2.06,GB,1681677843
102,kirakira,-10.4544,161.9205,26.42,80,92,1.98,SB,1681677844
103,saldanha,-33.0117,17.9442,17.03,69,0,5.65,ZA,1681677844
104,zyryanka,65.75,150.85,-10.43,91,91,1.14,RU,1681677844
105,puerto ayora,-0.7393,-90.3518,28.98,88,100,3.58,EC,1681677844
106,bonthe,7.5264,-12.505,27.34,84,65,4.47,SL,1681677845
107,wattegama,6.7989,81.4808,23.58,93,4,0.59,LK,1681677845
108,virpur,23.1833,73.4833,27.59,30,3,2.86,IN,1681677845
109,tuktoyaktuk,69.4541,-133.0374,-9.0,79,75,3.09,CA,1681677845
110,hithadhoo,-0.6,73.0833,28.61,67,93,1.82,MV,1681677846
111,naze,28.3667,129.4833,18.51,79,36,3.09,JP,1681677846
112,nome,64.5011,-165.4064,-13.96,78,0,0.0,US,1681677388
113,mujiayingzi,42.1167,118.7833,7.54,31,97,4.77,CN,1681677846
114,usinsk,65.9939,57.5281,-1.93,97,100,3.96,RU,1681677847
115,kyaukse,21.6,96.1333,29.74,33,17,3.15,MM,1681677847
116,nanortalik,60.1432,-45.2371,1.86,81,93,1.11,GL,1681677847
117,cidreira,-30.1811,-50.2056,21.94,85,52,2.84,BR,1681677847
118,astoria,46.1879,-123.8313,9.84,84,100,4.47,US,1681677849
119,comodoro rivadavia,-45.8667,-67.5,14.92,38,0,3.6,AR,1681677849
120,cherskiy,68.75,161.3,-9.43,75,30,2.16,RU,1681677850
121,sakakah,29.9697,40.2064,20.76,36,0,5.6,SA,1681677850
122,vytegra,61.0064,36.4481,1.13,89,100,2.17,RU,1681677851
123,madhugiri,13.6606,77.2092,24.92,29,0,2.93,IN,1681677852
124,aksu,41.1231,80.2644,16.87,29,100,0.67,CN,1681677853
125,te anau,-45.4167,167.7167,11.82,79,92,0.89,NZ,1681677853
126,sitka,57.0531,-135.33,7.94,57,75,3.6,US,1681677711
127,touros,-5.1989,-35.4608,26.37,85,100,4.34,BR,1681677853
128,jacarezinho,-23.1606,-49.9694,22.59,83,22,1.12,BR,1681677783
129,namtsy,62.7161,129.6658,-1.73,96,100,4.14,RU,1681677854
130,nabire,-3.3667,135.4833,23.97,90,91,1.31,ID,1681677854
131,san rafael del sur,11.8485,-86.4384,33.54,26,49,4.09,NI,1681677854
132,qaanaaq,77.484,-69.3632,-15.52,88,5,1.18,GL,1681677855
133,kingston,17.997,-76.7936,30.53,67,20,7.72,JM,1681677856
